userid,timestamp,tweet_text,username,all_hashtags,followers_count,following_count,allnumberoftweetscount,retweets,likes
863060650783895553,2020-11-21 23:54:12,"b'$NWC are launching their crypto APP in about 8 days! Over 10,000 pre-registered users in just 3 days, this will have potential to go to 10x by the end of year!  @NwcPublic  #NWC #NewsCrypto #MBmarketing #MurthaBurke #blockchain #Bitcoin #ethereum #Crypto #CryptoNews #bitcoinNews https://t.co/iGCZuqvBUL'",b'murthaburke',"['NWC', 'NewsCrypto', 'MBmarketing', 'MurthaBurke', 'blockchain', 'Bitcoin', 'ethereum', 'Crypto', 'CryptoNews', 'bitcoinNews']",75096,65823,8482,12,119
714480767120838656,2020-11-21 23:54:02,b'iot supply chain  #IoT #IIoT #IoTPL #IntrernetOfThings #Sensors #Network #Tech #Technology #5G  #SmartThings #InternetOfEverything #Industry40 #SmartCity #Digital #DigitalCity https://t.co/73dKB7666a',b'CioAmaro',"['IoT', 'IIoT', 'IoTPL', 'IntrernetOfThings', 'Sensors', 'Network', 'Tech', 'Technology', '5G', 'SmartThings', 'InternetOfEverything', 'Industry40', 'SmartCity', 'Digital', 'DigitalCity']",10097,6912,52721,2,5
856214647,2020-11-21 23:53:52,"b'Business doubts? We, @GFACCORD, #bigdata #AI powered #help #Spot  https://t.co/4CrH2BAQJl https://t.co/eFNzrw9ifT'",b'GFACCORD',"['bigdata', 'AI', 'help', 'Spot']",11362,1666,135359,0,0
85685454,2020-11-21 23:53:44,"b'@ataritoken staking and wallet are live on https://t.co/2GavkxPP9L . Claim your ATRI and start earning w/ staking.  With hotels, VCS, Casinos coming, this project will be full of pleasant announcements, stay tuned! @FredChesnais #atri #atarichain #bitcoin #blockchain #dlt #atari'",b'blockchainmaest',"['atri', 'atarichain', 'bitcoin', 'blockchain', 'dlt', 'atari']",212,98,236,0,0
900733685716193281,2020-11-21 23:53:26,b'Nice! My #Trading Bot just sold $XRPUP/ $USDT with 3.74% profit on #binance!   Binance -20% on the Fee: https://t.co/100XcVd3Oo (#ad) Free test Bot: https://t.co/nGhWESSWiV  (#ad)  #XRPUP #Cryptocurrency #Krypto #Cryptocurrency #Kryptow\xc3\xa4hrung #blockchain #bot #altcoin #Altcoins',b'AureumVictoria',"['Trading', 'binance', 'ad', 'ad', 'XRPUP', 'Cryptocurrency', 'Krypto', 'Cryptocurrency', 'Kryptowährung', 'blockchain', 'bot', 'altcoin', 'Altcoins']",3726,65,12253,0,0
729754661213884416,2020-11-21 23:53:21,"b'New article: ""America Airlines  - Singapore, Copa back at SFO, Frontier to OAK + Alaska/AA, change fees, 737 Max news, more"" has been published on Fintech Zoom - https://t.co/R4y5Qm7TEt @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO https://t.co/ZLKgmt5eac'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,0,0
1194672371979841538,2020-11-21 23:53:14,"b""No doubt on $PLOT \xf0\x9f\x94\xa5 There's gonna be more updates and developments to come. Keep on #trading in @BitMax_Official , low fees and passive staking. \xf0\x9f\x9a\x80 @TryPlotX   #Prediction #blockchain #DeFi  $LINK $COTI $OCEAN https://t.co/40ZMhvyBLn""",b'arajeong01',"['trading', 'Prediction', 'blockchain', 'DeFi']",262,972,1592,1,2
9767702,2020-11-21 23:53:12,"b""The Law of Big Numbers  Watch this bite-sized #video to learn about advanced #Tech including #IoT #IIoT #DigitalTwins #Cloud #EdgeComputing #DigitalTransformation #5G #AI #Mobile #APIs and #Data.  We're going from a few billion mobile devices provisioned https://t.co/SajQpvFq9T""",b'RobTiffany',"['video', 'Tech', 'IoT', 'IIoT', 'DigitalTwins', 'Cloud', 'EdgeComputing', 'DigitalTransformation', '5G', 'AI', 'Mobile', 'APIs', 'Data']",29267,19659,53416,1,2
467513287,2020-11-21 23:53:08,b'Artificial Intelligence and Robotics ETF (ROBT) at a 52-Week High - Nasdaq  Read more here: https://t.co/W4JmIyRj3X  #ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT',b'IainLJBrown',"['ArtificialIntelligence', 'AI', 'DataScience', 'MachineLearning', 'BigData', 'DeepLearning', 'NLP', 'Robots', 'IoT']",117193,99445,46534,3,2
1049585267772968960,2020-11-21 23:53:03,"b'Internet of Things (IoT) Developers Market Size And Forecast (2020-2026)| With Post Impact Of Covid-19 By Top Leading Players- Algoworks,Mercury Development,Chop Dawg,Centric Consulting,Chetu - Cheshire Media #DigitalTransformation #IoT  CC:@JimHarris https://t.co/TGkqX3PBjf'",b'digital_trans4m',"['DigitalTransformation', 'IoT']",4181,4651,64249,0,1
511740616,2020-11-21 23:53:00,"b'5 Ways #Cloud Computing Is Impacting Healthcare There has been a massive shift in the generation, consumption, storage, and sharing of healthcare .. https://t.co/5DQe6s63Cg #BigData #IoT #dwh  https://t.co/pWJ6tgmMyq'",b'biconnections',"['Cloud', 'BigData', 'IoT', 'dwh']",65965,54059,427397,1,1
972803523866955777,2020-11-21 23:52:30,b'\xf0\x9f\x92\xb0 How PayPal Sparked The Next Crypto Gold Rush - Global Coin Report via BTCnews on iOS  #remoteviewing #bitcoin #Ethereum #cryptocurrency #cryptoviewing #blockchain #DeFi #XRP #Ripple #Litecoin #Tezos #Chainlink  https://t.co/IJHN9qWZjv',b'CryptoViewing',"['remoteviewing', 'bitcoin', 'Ethereum', 'cryptocurrency', 'cryptoviewing', 'blockchain', 'DeFi', 'XRP', 'Ripple', 'Litecoin', 'Tezos', 'Chainlink']",1796,248,2628,0,2
729754661213884416,2020-11-21 23:52:15,"b'New article: ""KKR (NYSE: KKR) Announces Accquisition Of Industrial Property In Phoenix"" has been published on Fintech Zoom - https://t.co/lN1952YFz5 @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,0,0
37983966,2020-11-21 23:51:53,"b'Bitcoin Price Prediction: BTC/USD Is in a Deadlock as It Is Range-Bound Between $18,400and $18,800  #blockchain #dlike #cryptocurrency https://t.co/pzX3sXPg1t'",b'tron_age',"['blockchain', 'dlike', 'cryptocurrency']",6883,2498,103315,0,2
3395693368,2020-11-21 23:51:32,b'#AI #ArtificialIntelligence #Ethics How will the future of AI impact humanity? https://t.co/9LhsW768vC',b'truthtableJCT',"['AI', 'ArtificialIntelligence', 'Ethics']",10387,11372,83217,0,0
729754661213884416,2020-11-21 23:51:28,"b'New article: ""America Airlines  - Airlines take another hit as CDC warns against Thanksgiving travel"" has been published on Fintech Zoom - https://t.co/ZAc7aFtJLm @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,1,1
729754661213884416,2020-11-21 23:51:05,"b'New article: ""American Express - Supporting small businesses ahead of Small Business Saturday"" has been published on Fintech Zoom - https://t.co/1gkcAsNkG8 @FintechZoom #Fintech #Blockchain #Crypto #Cryptocurrency #ICO https://t.co/luSxUWlima'",b'FinTechZoom',"['Fintech', 'Blockchain', 'Crypto', 'Cryptocurrency', 'ICO']",4580,360,101229,2,1
919134863445430275,2020-11-21 23:51:03,"b'Everything in the Bitcoin network is maximally, capitalistically designed. #cryptocurrency #blockchain #bitcoin #ethereum #btc #eth #crypto https://t.co/oCrky6xjlv https://t.co/3kmhLvRul5'",b'JoeMartinDE',"['cryptocurrency', 'blockchain', 'bitcoin', 'ethereum', 'btc', 'eth', 'crypto']",318,947,7952,1,0
487010011,2020-11-21 23:51:01,b'Discover how Lunar Outpost won $1M for building a one-of-kind #IoT network in Denver schools. https://t.co/aQoKnybg77',b'particle',['IoT'],22548,600,10073,1,1
